Betting Strategy,BetType,Rolls Since Last Hit,Avg Delay,Min Delay,Max Delay,Bet Signal,Bias Score,Bias Classification,Martingale Risk
'Tiers,General,3.0,2.77,1.0,11.0,? Consider betting,0.08 | 0.11,0 | +,"$1,530"
'Orphelins,General,0.0,5.14,1.0,22.0,? Wait,0.02 | -0.1,0 | 0,
'Voisins Du Zero,General,4.0,2.23,1.0,13.0,? Consider betting,-0.06 | -0.03,0 | 0,
'Zero,General,5.0,5.85,1.0,28.0,? Wait,0.06 | -0.1,0 | 0,
'Top Row,General,1.0,2.89,1.0,14.0,? Wait,0.33 | 0.06,+ | 0,
'Middle Row,General,0.0,3.46,1.0,16.0,? Wait,-0.07 | -0.11,0 | -,
'Bottom Row,General,7.0,2.91,1.0,22.0,? Consider betting,-0.23 | 0.05,- | 0,
'1st & 12,General,1.0,3.02,1.0,14.0,? Wait,-0.04 | 0.02,0 | 0,
'2nd & 12,General,0.0,3.46,1.0,15.0,? Wait,-0.07 | -0.11,0 | -,
'3rd & 12,General,5.0,2.82,1.0,10.0,? Consider betting,0.14 | 0.09,+ | 0,$31
'1st & 2nd & 12,General,0.0,1.61,1.0,6.0,? Wait,-0.06 | -0.04,0 | 0,$63
'1st & 3rd & 12,General,1.0,1.46,1.0,6.0,? Wait,0.05 | 0.05,0 | 0,$31
'2nd & 3rd & 12,General,0.0,1.56,1.0,7.0,? Wait,0.03 | -0.01,0 | 0,$127
'Top & Middle Row,General,0.0,1.57,1.0,6.0,? Wait,0.13 | -0.03,+ | 0,$63
'Top & Bottom Row,General,1.0,1.46,1.0,5.0,? Wait,0.05 | 0.05,0 | 0,$15
'Middle & Bottom Row,General,0.0,1.59,1.0,8.0,? Wait,-0.15 | -0.03,- | 0,$255
"'Crossfire, 1st & top",General,1.0,1.79,1.0,8.0,? Wait,0.11 | 0.02,+ | 0,$127
"'Crossfire, 1st & middle",General,0.0,1.92,1.0,6.0,? Wait,-0.02 | -0.04,0 | 0,$63
"'Crossfire, 1st & bottom",General,1.0,1.79,1.0,8.0,? Wait,-0.13 | 0.03,- | 0,$127
"'Crossfire, 2nd & top",General,0.0,1.87,1.0,8.0,? Wait,0.11 | -0.01,+ | 0,$255
"'Crossfire, 2nd & middle",General,0.0,2.06,1.0,7.0,? Wait,-0.06 | -0.1,0 | 0,$127
"'Crossfire, 2nd & bottom",General,0.0,1.89,1.0,9.0,? Wait,-0.13 | -0.02,- | 0,$511
"'Crossfire, 3rd & top",General,1.0,1.75,1.0,8.0,? Wait,0.18 | 0.05,+ | 0,$127
"'Crossfire, 3rd & middle",General,0.0,1.85,1.0,7.0,? Wait,-0.0 | 0.0,0 | 0,$127
"'Crossfire, 3rd & bottom",General,5.0,1.76,1.0,9.0,? Consider betting,-0.0 | 0.04,0 | 0,$15
'First Line,General,1.0,6.27,1.0,21.0,? Wait,-0.01 | -0.01,0 | 0,
'Second Line,General,11.0,5.73,1.0,31.0,? Consider betting,-0.07 | 0.05,0 | 0,
'Third Line,General,0.0,6.92,1.0,33.0,? Wait,-0.07 | -0.1,0 | 0,
'Fourth Line,General,3.0,6.8,1.0,27.0,? Wait,-0.07 | -0.11,0 | -,
'Fifth Line,General,22.0,5.61,1.0,28.0,? Consider betting,-0.07 | 0.06,0 | 0,$63
'Sixth Line,General,5.0,5.49,1.0,24.0,? Wait,0.36 | 0.11,+ | +,
"'First Street (1, 2, 3)",General,15.0,14.15,1.0,75.0,? Consider betting,-0.01 | -0.14,0 | -,
"'Second Street (4, 5, 6)",General,1.0,11.18,1.0,45.0,? Wait,-0.01 | 0.11,0 | +,
"'Third Street (7, 8, 9)",General,11.0,10.95,1.0,51.0,? Consider betting,-0.14 | 0.06,- | 0,
"'Fourth Street (10, 11, 12)",General,25.0,11.39,1.0,33.0,? Consider betting,-0.01 | 0.04,0 | 0,$255
"'Fifth Street (13, 14, 15)",General,0.0,11.62,1.0,41.0,? Wait,0.11 | 0.01,+ | 0,
"'Sixth Street (16, 17, 18)",General,2.0,16.0,1.0,79.0,? Wait,-0.26 | -0.21,- | -,
"'Seventh Street (19, 20, 21)",General,30.0,19.83,1.0,56.0,? Consider betting,-0.26 | -0.41,- | -,
"'Eighth Street (22, 23, 24)",General,3.0,9.66,1.0,37.0,? Wait,0.11 | 0.18,+ | +,
"'Ninth Street (25, 26, 27)",General,23.0,11.61,1.0,34.0,? Consider betting,0.23 | 0.04,+ | 0,
"'Tenth Street (28, 29, 30)",General,22.0,10.63,2.0,38.0,? Consider betting,-0.38 | 0.09,- | 0,
"'Eleventh Street (31, 32, 33)",General,6.0,9.76,1.0,31.0,? Wait,0.73 | 0.26,+ | +,
"'Twelfth Street (34, 35, 36)",General,5.0,12.61,1.0,38.0,? Wait,-0.01 | -0.04,0 | 0,
'1/4,Horizontal Doubles,7.0,22.76,2.0,61.0,? Wait,-0.26 | -0.19,- | -,
'2/5,Horizontal Doubles,47.0,16.59,1.0,81.0,? Consider betting,-0.26 | 0.04,- | 0,
'3/6,Horizontal Doubles,1.0,17.07,1.0,65.0,? Wait,0.48 | 0.11,+ | +,
'4/7,Horizontal Doubles,7.0,14.94,2.0,59.0,? Wait,-0.44 | 0.22,- | +,
'5/8,Horizontal Doubles,60.0,16.52,1.0,69.0,? Consider betting,-0.44 | -0.04,- | 0,$511
'6/9,Horizontal Doubles,1.0,17.57,1.0,51.0,? Wait,0.67 | 0.07,+ | 0,
'7/10,Horizontal Doubles,25.0,13.67,1.0,42.0,? Consider betting,-0.07 | 0.26,0 | +,
'8/11,Horizontal Doubles,60.0,21.6,1.0,64.0,? Consider betting,-0.26 | -0.22,- | -,$15
'9/12,Horizontal Doubles,11.0,16.52,1.0,73.0,? Wait,0.11 | 0.11,+ | +,
'10/13,Horizontal Doubles,25.0,15.03,1.0,45.0,? Consider betting,0.11 | 0.15,+ | +,
'11/14,Horizontal Doubles,0.0,18.22,1.0,65.0,? Wait,0.11 | 0.04,+ | 0,
'12/15,Horizontal Doubles,10.0,20.87,1.0,63.0,? Wait,-0.07 | -0.11,0 | -,
'13/16,Horizontal Doubles,51.0,15.96,1.0,59.0,? Consider betting,-0.63 | 0.07,- | 0,$255
'14/17,Horizontal Doubles,0.0,21.0,1.0,90.0,? Wait,0.11 | -0.15,+ | -,
'15/18,Horizontal Doubles,4.0,24.35,1.0,99.0,? Wait,0.3 | -0.22,+ | -,
'16/19,Horizontal Doubles,30.0,22.29,1.0,72.0,? Consider betting,-0.07 | -0.19,0 | -,
'17/20,Horizontal Doubles,2.0,40.33,2.0,105.0,? Wait,-0.63 | -0.52,- | -,
'18/21,Horizontal Doubles,4.0,24.35,1.0,86.0,? Wait,-0.07 | -0.22,0 | -,
'19/22,Horizontal Doubles,30.0,20.7,1.0,68.0,? Consider betting,0.11 | -0.22,+ | -,
'20/23,Horizontal Doubles,3.0,21.95,2.0,69.0,? Wait,-0.45 | -0.15,- | -,
'21/24,Horizontal Doubles,29.0,15.85,1.0,75.0,? Consider betting,0.11 | 0.04,+ | 0,
'22/25,Horizontal Doubles,27.0,15.73,1.0,42.0,? Consider betting,-0.26 | 0.15,- | +,
'23/26,Horizontal Doubles,3.0,20.6,2.0,55.0,? Wait,-0.26 | -0.22,- | -,
'24/27,Horizontal Doubles,23.0,12.59,1.0,89.0,? Consider betting,1.04 | 0.41,+ | +,
'25/28,Horizontal Doubles,27.0,14.3,1.0,35.0,? Consider betting,-0.45 | 0.26,- | +,$255
'26/29,Horizontal Doubles,22.0,21.76,1.0,76.0,? Consider betting,-0.26 | -0.19,- | -,
'27/30,Horizontal Doubles,23.0,16.07,1.0,63.0,? Consider betting,0.48 | 0.11,+ | +,
'28/31,Horizontal Doubles,9.0,16.17,2.0,40.0,? Wait,-0.45 | 0.11,- | +,
'29/32,Horizontal Doubles,6.0,14.78,1.0,68.0,? Wait,0.48 | 0.22,+ | +,
'30/33,Horizontal Doubles,17.0,15.39,1.0,71.0,? Consider betting,0.48 | 0.18,+ | +,
'31/34,Horizontal Doubles,9.0,16.38,1.0,54.0,? Wait,-0.07 | 0.11,0 | +,
'32/35,Horizontal Doubles,5.0,17.85,1.0,71.0,? Wait,0.67 | -0.0,+ | 0,
